Type,Description,Case#,Location#,LocationName,Agency,DateMonth2015,DateDay,Hour,Minute,AMPM,Thour,long,lat,spec
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115009814,3600,BLOCK HESTER ST,Eau Claire Police,5,22,3,0,PM,15,44.780324,-91.473237,
THEFT,FROM BUILDING,Eau Claire PD 0115009894,800,BLOCK GRAHAM AV,Eau Claire Police,5,22,2,0,PM,14,44.806779,-91.496621,
THEFT,RETAIL,Eau Claire PD 0115009813,3700,BLOCK GATEWAY DR,Eau Claire Police,5,22,1,58,PM,13,44.778243,-91.4316,
ORD COMPLAINT,DISORDERLY CONDUCT,Eau Claire CSO 0215003085,2000,BLOCK N HILLCREST PKWY,Eau Claire County Sheriff,5,22,12,3,PM,12,44.795437,-91.458025,
GRAFFITI,OTHER PROPERTY,Eau Claire PD 0115010485,400,BLOCK E MADISON ST,Eau Claire Police,5,22,12,0,PM,12,44.816423,-91.501836,
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115009607,800,BLOCK CHAPIN ST,Eau Claire Police,5,22,12,0,PM,12,44.809102,-91.474754,
FRAUD,WORTHLESS CHECKS,Eau Claire PD 0115009436,1400,BLOCK S HASTINGS WAY,Eau Claire Police,5,22,10,41,AM,10,44.803484,-91.470315,
BATTERY,NON-AGGRAVATED,Eau Claire PD 0115009450,2000,BLOCK VINE ST,Eau Claire Police,5,22,10,0,AM,10,44.821478,-91.53517,delong middle school
ANIMAL,BARKING DOG,Eau Claire PD 0115009429,3300,BLOCK DELBERT RD,Eau Claire Police,5,22,9,45,AM,9,44.856746,-91.461551,
GRAFFITI,PUBLIC PROPERTY,Eau Claire PD 0115009430,100,BLOCK SIMON CT,Eau Claire Police,5,22,9,42,AM,9,44.831692,-91.507032,
SEX OFFENDER,SORP REGISTRATION,Eau Claire PD 0115009425,700,BLOCK OXFORD AV,Eau Claire Police,5,22,9,8,AM,9,44.80698,-91.504399,
THEFT,RETAIL,Eau Claire PD 0115009433,200,BLOCK W MADISON ST,Eau Claire Police,5,22,8,15,AM,8,44.815574,-91.510317,
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115009423,2000,BLOCK VINE ST,Eau Claire Police,5,22,7,0,AM,7,44.821478,-91.53517,delong middle school
DRUG,MARIJUANA POSSESSION,Eau Claire PD 0115009416,700,BLOCK PARK RIDGE DR,Eau Claire Police,5,22,2,42,AM,2,44.807211,-91.531919,
ORD COMPLAINT,ALL OTHER - ALCOHOL,Eau Claire CSO 0215003093,1500,BLOCK S 65TH AV,Eau Claire County Sheriff,5,22,2,5,AM,2,,,
OMVWI,,Eau Claire CSO 0215003076,5500,BLOCK PERTH DR,Eau Claire County Sheriff,5,22,2,5,AM,2,44.826202,-91.417212,
ORD COMPLAINT,LOUD PARTY,Eau Claire PD 0115009414,200,BLOCK HUDSON ST,Eau Claire Police,5,22,2,2,AM,2,44.806039,-91.503464,
ORD COMPLAINT,OTHER ALCOHOL,Eau Claire PD 0115009413,400,BLOCK WATER ST,Eau Claire Police,5,22,1,45,AM,1,44.802161,-91.507726,water
BATTERY,NON-AGGRAVATED,Eau Claire PD 0115010644,1200,BLOCK OMAHA ST,Eau Claire Police,5,22,12,1,AM,0,44.821883,-91.49165,
ORD COMPLAINT,LOUD PARTY,Eau Claire PD 0115009329,500,BLOCK 5TH AV,Eau Claire Police,5,21,11,0,PM,23,44.805062,-91.509772,
ORD COMPLAINT,LOUD PARTY,Eau Claire PD 0115009404,400,BLOCK BROADWAY ST,Eau Claire Police,5,21,10,30,PM,22,,,
ORD COMPLAINT,LOUD PARTY,Eau Claire PD 0115009410,500,BLOCK WATER ST,Eau Claire Police,5,21,10,0,PM,22,44.802189,-91.509767,water
ORD COMPLAINT,LOUD MUSIC,Eau Claire PD 0115009401,900,BLOCK FOUNTAIN ST,Eau Claire Police,5,21,9,2,PM,21,44.823163,-91.522286,
THEFT,FROM AUTO CAR ENTRY,Eau Claire PD 0115009420,2200,BLOCK SEYMOUR RD,Eau Claire Police,5,21,9,0,PM,21,44.8258,-91.478668,
THEFT,FROM AUTO CAR ENTRY,Eau Claire PD 0115009431,2200,BLOCK SEYMOUR RD,Eau Claire Police,5,21,9,0,PM,21,44.8258,-91.478668,
FRAUD,ALL OTHER,Eau Claire PD 0115009323,3800,BLOCK LEVER ST,Eau Claire Police,5,21,7,38,PM,19,44.777249,-91.458324,
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115009422,2000,BLOCK VINE ST,Eau Claire Police,5,21,7,0,PM,19,44.821478,-91.53517,delong middle school
DRUG,COCAINE POSSESSION,Eau Claire PD 0115009388,2200,BLOCK BIRCH ST,Eau Claire Police,5,21,6,0,PM,18,44.820499,-91.478662,
GRAFFITI,RELIGIOUS PROPERTY,Eau Claire PD 0115009806,400,BLOCK S BARSTOW ST,Eau Claire Police,5,21,5,0,PM,17,44.810105,-91.49876,
THEFT,BIKE,Eau Claire PD 0115009378,400,BLOCK EAU CLAIRE ST,Eau Claire Police,5,21,4,15,PM,16,44.812755,-91.499309,library
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115009369,200,BLOCK FERRY ST,Eau Claire Police,5,21,2,43,PM,14,44.7978,-91.535306,
FRAUD,ATTEMPTED,Eau Claire PD 0115009372,100,BLOCK PARK PL,Eau Claire Police,5,21,1,44,PM,13,44.800375,-91.498349,
ANIMAL,BARKING DOG,Eau Claire PD 0115009361,3300,BLOCK LOCUST LA,Eau Claire Police,5,21,1,2,PM,13,44.85396,-91.461957,
THEFT,FROM AUTO CAR ENTRY,Eau Claire PD 0115009360,800,BLOCK EMERY ST,Eau Claire Police,5,21,1,2,PM,13,44.80964,-91.490557,
TRAFFIC,OMV WHILE INTOXICATED,Eau Claire PD 0115009346,2900,BLOCK E HAMILTON AV,Eau Claire Police,5,21,9,41,AM,9,44.786514,-91.461005,
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115009341,200,BLOCK 5TH AV,Eau Claire Police,5,21,8,24,AM,8,44.802179,-91.509782,water
BATTERY,NON-AGGRAVATED,Eau Claire PD 0115009337,300,BLOCK W GRAND AV,Eau Claire Police,5,21,6,30,AM,6,44.808701,-91.505093,
ORD COMPLAINT,LOUD MUSIC,Eau Claire PD 0115009331,300,BLOCK NIAGARA ST,Eau Claire Police,5,21,1,30,AM,1,44.804091,-91.505689,
BURGLARY,UNLAWFUL RESIDENTIAL,Eau Claire PD 0115009335,300,BLOCK WATER ST,Eau Claire Police,5,20,11,30,PM,23,44.80217,-91.505665,water
FRAUD,ALL OTHER,Eau Claire PD 0115009327,3200,BLOCK ALF AV,Eau Claire Police,5,20,10,48,PM,22,44.783683,-91.456702,
FRAUD,CREDIT CARD,Eau Claire PD 0115009990,3200,BLOCK RUNWAY AV,Eau Claire Police,5,20,10,30,PM,22,44.871219,-91.463672,
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115009316,4000,BLOCK COMMONWEALTH AV,Eau Claire Police,5,20,7,36,PM,19,44.774651,-91.437363,
THEFT,RETAIL,Eau Claire PD 0115009315,4800,BLOCK GOLF RD,Eau Claire Police,5,20,7,33,PM,19,44.774849,-91.441109,mall
THEFT,RETAIL,Eau Claire PD 0115009314,4800,BLOCK GOLF RD,Eau Claire Police,5,20,7,33,PM,19,44.774849,-91.441109,mall
THEFT,EMBEZZLEMENT,Eau Claire PD 0115009344,2000,BLOCK S HASTINGS WAY,Eau Claire Police,5,20,7,15,PM,19,44.795187,-91.460844,
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115009317,2700,BLOCK SOUTH SLOPE TER,Eau Claire Police,5,20,6,28,PM,18,44.82271,-91.472201,
DISTURBANCE,FIGHTING,Eau Claire PD 0115009305,2700,BLOCK CRAIG RD,Eau Claire Police,5,20,6,0,PM,18,44.790566,-91.519033,
